participant,condition,correctness,rt,problem,congruency,num_distance
653,magnitude,1,0.4788,2 | 1,congruent,1
653,magnitude,0,0.529,8 | 6,incongruent,2
653,magnitude,0,0.7142,1 | 6,neutral,5
653,magnitude,1,0.4678,2 | 1,neutral,1
653,magnitude,0,0.5327,7 | 2,incongruent,5
653,magnitude,0,0.4466,2 | 4,incongruent,2
653,magnitude,1,0.3974,2 | 1,incongruent,1
653,magnitude,1,0.987,8 | 6,neutral,2
653,magnitude,0,0.8806,9 | 4,neutral,5
653,magnitude,1,0.6812,1 | 6,congruent,5
653,magnitude,1,0.5305,4 | 2,neutral,2
653,magnitude,0,0.6479,6 | 1,incongruent,5
653,magnitude,0,0.4815,2 | 7,incongruent,5
653,magnitude,1,0.4806,4 | 9,congruent,5
653,magnitude,0,0.7997,9 | 8,incongruent,1
653,magnitude,1,0.6477,9 | 7,neutral,2
653,magnitude,1,0.4809,1 | 2,congruent,1
653,magnitude,1,0.5476,7 | 2,neutral,5
653,magnitude,1,0.4652,8 | 9,congruent,1
653,magnitude,0,0.6018,1 | 6,incongruent,5
653,magnitude,1,0.4988,8 | 9,neutral,1
653,magnitude,1,0.4632,8 | 6,congruent,2
653,magnitude,1,0.5314,9 | 4,congruent,5
653,magnitude,1,0.5715,9 | 7,congruent,2
653,magnitude,1,0.7294,7 | 9,neutral,2
653,magnitude,0,0.931,4 | 2,incongruent,2
653,magnitude,0,0.684,4 | 3,incongruent,1
653,magnitude,1,0.514,7 | 6,neutral,1
653,magnitude,0,0.5814,8 | 3,incongruent,5
653,magnitude,0,0.8147,9 | 4,incongruent,5
653,magnitude,1,0.5976,6 | 1,congruent,5
653,magnitude,0,0.433,6 | 8,incongruent,2
653,magnitude,1,0.5155,1 | 3,neutral,2
653,magnitude,1,0.5809,9 | 8,neutral,1
653,magnitude,0,0.5955,1 | 3,incongruent,2
653,magnitude,0,0.668,1 | 2,incongruent,1
653,magnitude,1,2.4644,4 | 3,congruent,1
653,magnitude,0,0.6146,3 | 8,incongruent,5
653,magnitude,1,0.5983,4 | 9,neutral,5
653,magnitude,1,0.632,6 | 8,congruent,2
653,magnitude,1,0.4376,6 | 7,congruent,1
653,magnitude,1,0.4537,3 | 8,congruent,5
653,magnitude,1,0.5147,3 | 8,neutral,5
653,magnitude,0,0.6154,7 | 6,incongruent,1
653,magnitude,1,0.6955,6 | 7,neutral,1
653,magnitude,1,0.7974,7 | 9,congruent,2
653,magnitude,1,0.5806,9 | 8,congruent,1
653,magnitude,0,0.5801,6 | 7,incongruent,1
653,magnitude,0,0.7489,7 | 9,incongruent,2
653,magnitude,1,0.5477,3 | 4,congruent,1
653,magnitude,1,0.4485,7 | 6,congruent,1
653,magnitude,1,0.4981,9 | 7,incongruent,2
653,magnitude,1,0.6641,2 | 4,congruent,2
653,magnitude,1,0.5146,2 | 7,neutral,5
653,magnitude,1,0.8141,3 | 1,neutral,2
653,magnitude,1,0.4328,3 | 4,neutral,1
653,magnitude,1,0.5135,3 | 1,congruent,2
653,magnitude,1,0.6477,7 | 2,congruent,5
653,magnitude,1,0.6,2 | 7,congruent,5
653,magnitude,1,0.5145,8 | 3,congruent,5
653,magnitude,1,0.653,6 | 1,neutral,5
653,magnitude,1,0.5979,1 | 2,neutral,1
653,magnitude,0,0.615,8 | 9,incongruent,1
653,magnitude,1,0.948,2 | 4,neutral,2
653,magnitude,0,0.6341,3 | 4,incongruent,1
653,magnitude,1,0.5139,8 | 3,neutral,5
653,magnitude,1,0.4137,4 | 2,congruent,2
653,magnitude,1,0.5458,4 | 3,neutral,1
653,magnitude,1,0.53,1 | 3,congruent,2
653,magnitude,1,0.5498,3 | 1,incongruent,2
653,magnitude,0,0.6479,4 | 9,incongruent,5
653,magnitude,1,0.4989,6 | 8,neutral,2
656,magnitude,1,1.0653,3 | 8,congruent,5
656,magnitude,1,0.7445,4 | 9,incongruent,5
656,magnitude,1,0.7432,8 | 6,congruent,2
