participant,total_trials_mag,total_solved_mag,accuracy_rate_mag,mean_RT_mag,median_RT_mag,sd_RT_mag
656,72,71,0.9861111111111112,0.8308366197183099,0.7432,0.2837891597846323
667,72,72,1,0.8225152777777778,0.7502500000000001,0.29005920651554706
675,72,69,0.9583333333333334,0.861168115942029,0.7682,0.29948522328899124
679,72,68,0.9444444444444444,0.6179985294117647,0.5693999999999999,0.16527339944761005
681,72,67,0.9305555555555556,0.8527985074626866,0.6996,0.5227611472928633
682,72,70,0.9722222222222222,0.67801,0.6245499999999999,0.17077719967119798
683,72,71,0.9861111111111112,0.7028830985915493,0.6338,0.23976684924312588
684,72,70,0.9722222222222222,0.65591,0.638,0.11983218840032756
685,72,69,0.9583333333333334,0.8233942028985507,0.7338,0.3621655751026439
686,72,69,0.9583333333333334,0.6158782608695652,0.5985,0.11221549498432917
687,72,69,0.9583333333333334,0.5269565217391304,0.5058,0.10653709168815735
689,72,71,0.9861111111111112,0.7988873239436619,0.7563,0.18329169720855756
690,72,65,0.9027777777777778,0.5171446153846154,0.4831,0.11287948361910319
692,72,71,0.9861111111111112,0.6571352112676057,0.6212,0.16646145679885654
694,72,67,0.9305555555555556,0.7412388059701492,0.7158,0.20017802452213132
695,72,70,0.9722222222222222,0.6562057142857143,0.5951,0.1518350228694693
696,72,69,0.9583333333333334,0.6597840579710145,0.5886,0.24633836582515592
697,72,65,0.9027777777777778,0.5688215384615385,0.5045,0.20972831643902107
698,72,67,0.9305555555555556,0.6274820895522388,0.5939,0.13699448775171755
702,72,70,0.9722222222222222,0.6918228571428572,0.6436,0.17373414903939602
704,72,70,0.9722222222222222,0.6335,0.6347,0.12790983123879193
706,72,69,0.9583333333333334,0.7052463768115942,0.6708,0.21632473586479561
708,72,71,0.9861111111111112,0.6303,0.58,0.14754404572388352
712,72,70,0.9722222222222222,0.5963142857142857,0.57985,0.11801268942543608
713,72,65,0.9027777777777778,0.7533261538461539,0.6315,0.3174698678009276
714,72,67,0.9305555555555556,0.4878044776119403,0.4626,0.10987944693360582
715,72,71,0.9861111111111112,0.5141985915492958,0.4991,0.09529604173005561
719,72,69,0.9583333333333334,0.6929347826086957,0.64,0.21387438439839
721,72,71,0.9861111111111112,0.6322676056338028,0.6,0.11979470030568116
723,72,65,0.9027777777777778,0.8640092307692308,0.7591,0.28062956718058335
726,72,71,0.9861111111111112,0.5973028169014084,0.5673,0.1377702009785352
730,72,71,0.9861111111111112,0.5588394366197184,0.5244,0.10164758233211342
733,72,71,0.9861111111111112,0.5830323943661971,0.5473,0.14982729083338192
734,72,72,1,0.67485,0.6356999999999999,0.18385834795482103
740,72,70,0.9722222222222222,0.5922242857142858,0.5672,0.11344134976470847
741,72,71,0.9861111111111112,0.7563478873239436,0.6554,0.27976526377822786
742,72,70,0.9722222222222222,0.6167685714285714,0.60495,0.08064871858575194
743,72,70,0.9722222222222222,0.6468471428571428,0.5908,0.22762299985762025
745,72,69,0.9583333333333334,0.6744927536231884,0.6299,0.1783069621210442
746,72,72,1,0.5431986111111111,0.5186999999999999,0.10993060870584766
747,72,70,0.9722222222222222,0.70149,0.66,0.15863582407879823
750,72,69,0.9583333333333334,0.6307579710144927,0.6007,0.12602540174130755
751,72,71,0.9861111111111112,0.5568901408450704,0.4989,0.13089389067368334
752,72,71,0.9861111111111112,0.6082957746478873,0.5789,0.11425977099401885
753,72,69,0.9583333333333334,0.6228318840579711,0.5731,0.16880066341237213
754,72,66,0.9166666666666666,0.616330303030303,0.5972500000000001,0.09169566212321306
756,72,70,0.9722222222222222,0.8744342857142857,0.8508,0.21028573237915124
758,72,72,1,1.0797555555555556,0.85555,0.8857751331165118
762,72,71,0.9861111111111112,0.5620295774647888,0.523,0.09892580682275583
763,72,71,0.9861111111111112,0.6323239436619719,0.573,0.1609160184380027
764,72,70,0.9722222222222222,0.9870671428571428,0.8836999999999999,0.3603609216220568
765,72,62,0.8611111111111112,0.5093887096774193,0.4781,0.11762279820393735
767,72,69,0.9583333333333334,0.5338072463768115,0.5076,0.10000732520059039
769,72,72,1,0.6353569444444445,0.60065,0.14061885136618835
770,72,69,0.9583333333333334,0.8447826086956521,0.7675,0.26994757549684356
