participant,total_trials_fluency,total_solved_fluency,accuracy_rate_fluency,mean_RT_fluency,median_RT_fluency,sd_RT_fluency,combined_fluency_score,date,total_trial_typing,num_correct_responses_typing,mean_RT_correct_typing,median_RT_correct_typing,sd_RT_correct_typing,percentage_accuracy_typing,total_trials_speed,total_solved_speed,accuracy_rate_speed,mean_RT_speed,median_RT_speed,sd_RT_speed,combined_speed_score
653,39,38,0.6333333333333333,2.3053763157894736,1.9573,1.040125255044148,0.3235749927621383,2022-06-20,62,62,1.6514467741935484,1.58215,0.35972246711886,100,64,62,0.96875,0.41721290322580645,0.3618,0.3462744266030946,2.677584300718629
656,41,40,0.6666666666666666,2.175,2.0154,0.669920710960901,0.3307862789851477,2022-06-17,62,61,2.03467868852459,1.9529,0.5913178993048082,98.38709677419355,64,64,1,0.5056046875,0.4662,0.1906527437721191,2.145002145002145
657,37,34,0.5666666666666667,2.3842323529411766,2.0271999999999997,0.9310970075166267,0.27953170218363593,2022-06-14,62,61,1.866288524590164,1.6027,0.6435979058124103,98.38709677419355,64,64,1,0.39540000000000003,0.3635,0.1169426490832287,2.751031636863824
658,42,40,0.6666666666666666,2.11308,1.8585,0.696078610797844,0.35871222311900275,2022-06-14,62,61,1.6313622950819673,1.5979,0.34702292391326467,98.38709677419355,64,64,1,0.3856234375,0.3507,0.2120888940179891,2.85143997718848
674,48,48,0.8,1.8375145833333333,1.72495,0.4366511339290496,0.46378155888576483,2022-04-16,62,61,1.796567213114754,1.6496,0.42337809056890335,98.38709677419355,64,62,0.96875,0.5328403225806452,0.4968,0.16179208319167163,1.9499798711755232
675,31,29,0.48333333333333334,2.873341379310345,2.5288,1.2438893581703552,0.191131498470948,2022-04-09,62,61,1.8285901639344262,1.7644,0.4850579486703689,98.38709677419355,64,64,1,0.4100296875,0.39985,0.09097892251921835,2.5009378516943856
676,38,36,0.6,2.3479694444444443,2.1171,0.7153214733129013,0.28340654669122856,2022-04-06,62,62,1.8362403225806452,1.66625,0.6882194718708482,100,64,63,0.984375,0.3823063492063492,0.3574,0.08071951011915329,2.7542669278119756
679,50,49,0.8166666666666667,1.7878163265306122,1.6166,0.6056450697902398,0.5051754711534496,2022-02-08,62,62,1.5218209677419354,1.433,0.3080937126632977,100,64,62,0.96875,0.3763983870967742,0.3205,0.3554270977298081,3.0226209048361934
680,34,33,0.55,2.6384242424242426,2.433,0.8695610253995629,0.22605836415947395,2022-02-13,62,62,1.645516129032258,1.5835,0.29835525869561497,100,64,64,1,0.354,0.3195,0.23479271506505286,3.1298904538341157
681,44,43,0.7166666666666667,2.055920930232558,1.8311,0.727204341675361,0.39138587005989117,2022-02-05,62,60,1.8452616666666666,1.59795,0.9762340484326537,96.7741935483871,64,64,1,0.3907140625,0.36160000000000003,0.1093405498013119,2.765486725663717
682,23,21,0.35,3.203057142857143,2.3066,2.127805279289303,0.15173848955172115,2022-02-13,62,61,1.6638032786885246,1.632,0.2345099528571678,98.38709677419355,64,63,0.984375,0.30730793650793653,0.297,0.038708114934756975,3.3143939393939394
683,51,47,0.7833333333333333,1.7748872340425532,1.6154,0.5459144715688256,0.4849160166728571,2022-02-05,62,62,1.4716983870967741,1.4321000000000002,0.2582090355950575,100,64,63,0.984375,0.3314809523809524,0.315,0.07903637353151917,3.125
684,31,26,0.43333333333333335,2.876469230769231,2.23925,1.6539278102188693,0.1935171746492501,2022-02-06,62,61,1.6033327868852458,1.5154,0.3910190953228547,98.38709677419355,64,64,1,0.40799843750000003,0.40085,0.05138247027428805,2.4946987651241113
685,41,39,0.65,2.1252794871794873,1.9662,0.6194055992726062,0.3305869189299156,2022-02-07,62,62,1.8323016129032257,1.6997499999999999,0.5663411398783134,100,64,63,0.984375,0.38135079365079366,0.3233,0.2399855391295389,3.044772656974946
686,51,49,0.8166666666666667,1.7363877551020408,1.616,0.5220471249612165,0.5053630363036303,2022-02-01,62,62,1.295516129032258,1.2605,0.23105877060456836,100,64,64,1,0.302503125,0.29935,0.0535808037431495,3.3405712376816434
