participant,condition,correctness,rt,problem,congruency,num_distance
653,physical,1,0.5342,2 | 4,congruent,2
653,physical,1,0.5022,7 | 6,congruent,1
653,physical,1,0.4523,1 | 3,congruent,2
653,physical,1,0.4186,7 | 2,incongruent,5
653,physical,1,0.4683,8 | 9,incongruent,1
653,physical,1,0.5013,3 | 3,neutral,0
653,physical,1,0.5391,3 | 1,incongruent,2
653,physical,1,0.5518,2 | 7,congruent,5
653,physical,1,0.5513,9 | 7,incongruent,2
653,physical,1,0.6518,1 | 2,incongruent,1
653,physical,1,0.5848,8 | 3,congruent,5
653,physical,1,0.4863,9 | 4,congruent,5
653,physical,1,0.6349,4 | 2,incongruent,2
653,physical,1,0.468,9 | 7,congruent,2
653,physical,1,0.9893,8 | 8,neutral,0
653,physical,1,1.0766,2 | 4,incongruent,2
653,physical,1,0.5133,7 | 9,congruent,2
653,physical,1,0.462,7 | 7,neutral,0
653,physical,1,0.5791,8 | 6,congruent,2
653,physical,1,0.7965,6 | 6,neutral,0
653,physical,1,0.5155,9 | 8,incongruent,1
653,physical,1,0.681,7 | 6,incongruent,1
653,physical,1,0.5614,3 | 8,congruent,5
653,physical,1,0.6695,7 | 7,neutral,0
653,physical,1,0.5017,6 | 6,neutral,0
653,physical,1,0.5221,3 | 4,congruent,1
653,physical,1,0.6519,3 | 4,incongruent,1
653,physical,1,0.5396,6 | 6,neutral,0
653,physical,1,0.4516,6 | 8,congruent,2
653,physical,0,0.5215,1 | 6,congruent,5
653,physical,1,0.4734,7 | 9,incongruent,2
653,physical,0,0.4513,1 | 1,neutral,0
653,physical,1,0.401,2 | 7,incongruent,5
653,physical,0,0.3855,9 | 9,neutral,0
653,physical,1,0.2882,4 | 4,neutral,0
653,physical,1,0.5171,6 | 8,incongruent,2
653,physical,1,0.4348,8 | 9,congruent,1
653,physical,1,0.6023,4 | 9,incongruent,5
653,physical,1,0.5343,1 | 1,neutral,0
653,physical,1,0.4512,8 | 8,neutral,0
653,physical,1,0.357,2 | 1,congruent,1
653,physical,1,0.452,3 | 8,incongruent,5
653,physical,1,0.6846,6 | 7,incongruent,1
653,physical,1,1.2206,4 | 3,incongruent,1
653,physical,0,0.5014,6 | 1,incongruent,5
653,physical,1,0.4516,1 | 3,incongruent,2
653,physical,1,0.4689,2 | 2,neutral,0
653,physical,0,0.4682,3 | 3,neutral,0
653,physical,1,0.7011,2 | 2,neutral,0
653,physical,1,0.5179,3 | 1,congruent,2
653,physical,0,0.5236,7 | 7,neutral,0
653,physical,0,0.4688,2 | 1,incongruent,1
