windowSize,welcomeResp.keys,welcomeResp.rt,typingInstr_resp.keys,typingInstr_resp.rt,TypedAnswer1,typingRT1,typingCorr,roundNo.thisRepN,roundNo.thisTrialN,roundNo.thisN,roundNo.thisIndex,roundNo.ran,typedStimulus,participant,date,expName,psychopyVersion,OS,frameRate,typingTrials.thisRepN,typingTrials.thisTrialN,typingTrials.thisN,typingTrials.thisIndex,typingTrials.ran,typingStimulusFile,roundNo,trialIstr_resp.keys,trialIstr_resp.rt,TypT_answer,typingRT,multiplyCorr,trials_presentation.thisRepN,trials_presentation.thisTrialN,trials_presentation.thisN,trials_presentation.thisIndex,trials_presentation.ran,problem,answers,exitkey_resp.keys,exitkey_resp.rt
"[1280,737]",space,31.896,space,13.329,12,13.622,1,0,0,0,5,1,12,721,2022-01-24_22h10.52,timed_fluency,2021.2.3,MacIntel,52.63157895,,,,,,,,,,,,,,,,,,,,,
,,,,,25,2.508,1,0,1,1,13,1,25,721,2022-01-24_22h10.52,timed_fluency,2021.2.3,MacIntel,52.63157895,,,,,,,,,,,,,,,,,,,,,
,,,,,45,1.804,1,0,2,2,22,1,45,721,2022-01-24_22h10.52,timed_fluency,2021.2.3,MacIntel,52.63157895,,,,,,,,,,,,,,,,,,,,,
,,,,,15,2.102,1,0,3,3,7,1,15,721,2022-01-24_22h10.52,timed_fluency,2021.2.3,MacIntel,52.63157895,,,,,,,,,,,,,,,,,,,,,
,,,,,4,1.831,1,0,4,4,0,1,4,721,2022-01-24_22h10.52,timed_fluency,2021.2.3,MacIntel,52.63157895,,,,,,,,,,,,,,,,,,,,,
,,,,,10,2.383,1,0,5,5,4,1,10,721,2022-01-24_22h10.52,timed_fluency,2021.2.3,MacIntel,52.63157895,,,,,,,,,,,,,,,,,,,,,
,,,,,54,3.522,1,0,6,6,25,1,54,721,2022-01-24_22h10.52,timed_fluency,2021.2.3,MacIntel,52.63157895,,,,,,,,,,,,,,,,,,,,,
,,,,,56,1.875,1,0,7,7,26,1,56,721,2022-01-24_22h10.52,timed_fluency,2021.2.3,MacIntel,52.63157895,,,,,,,,,,,,,,,,,,,,,
,,,,,32,2.445,1,0,8,8,17,1,32,721,2022-01-24_22h10.52,timed_fluency,2021.2.3,MacIntel,52.63157895,,,,,,,,,,,,,,,,,,,,,
,,,,,28,2.168,1,0,9,9,15,1,28,721,2022-01-24_22h10.52,timed_fluency,2021.2.3,MacIntel,52.63157895,,,,,,,,,,,,,,,,,,,,,
,,,,,40,1.602,1,0,10,10,20,1,40,721,2022-01-24_22h10.52,timed_fluency,2021.2.3,MacIntel,52.63157895,,,,,,,,,,,,,,,,,,,,,
,,,,,30,2.075,1,0,11,11,16,1,30,721,2022-01-24_22h10.52,timed_fluency,2021.2.3,MacIntel,52.63157895,,,,,,,,,,,,,,,,,,,,,
,,,,,21,2.035,1,0,12,12,11,1,21,721,2022-01-24_22h10.52,timed_fluency,2021.2.3,MacIntel,52.63157895,,,,,,,,,,,,,,,,,,,,,
,,,,,36,2.288,1,0,13,13,19,1,36,721,2022-01-24_22h10.52,timed_fluency,2021.2.3,MacIntel,52.63157895,,,,,,,,,,,,,,,,,,,,,
,,,,,72,2.11,1,0,14,14,29,1,72,721,2022-01-24_22h10.52,timed_fluency,2021.2.3,MacIntel,52.63157895,,,,,,,,,,,,,,,,,,,,,
,,,,,49,2.639,1,0,15,15,24,1,49,721,2022-01-24_22h10.52,timed_fluency,2021.2.3,MacIntel,52.63157895,,,,,,,,,,,,,,,,,,,,,
,,,,,35,3.359,1,0,16,16,18,1,35,721,2022-01-24_22h10.52,timed_fluency,2021.2.3,MacIntel,52.63157895,,,,,,,,,,,,,,,,,,,,,
,,,,,20,1.453,1,0,17,17,10,1,20,721,2022-01-24_22h10.52,timed_fluency,2021.2.3,MacIntel,52.63157895,,,,,,,,,,,,,,,,,,,,,
,,,,,6,1.854,1,0,18,18,1,1,6,721,2022-01-24_22h10.52,timed_fluency,2021.2.3,MacIntel,52.63157895,,,,,,,,,,,,,,,,,,,,,
,,,,,48,1.816,1,0,19,19,23,1,48,721,2022-01-24_22h10.52,timed_fluency,2021.2.3,MacIntel,52.63157895,,,,,,,,,,,,,,,,,,,,,
,,,,,63,1.939,1,0,20,20,27,1,63,721,2022-01-24_22h10.52,timed_fluency,2021.2.3,MacIntel,52.63157895,,,,,,,,,,,,,,,,,,,,,
,,,,,64,1.609,1,0,21,21,28,1,64,721,2022-01-24_22h10.52,timed_fluency,2021.2.3,MacIntel,52.63157895,,,,,,,,,,,,,,,,,,,,,
,,,,,42,1.894,1,0,22,22,21,1,42,721,2022-01-24_22h10.52,timed_fluency,2021.2.3,MacIntel,52.63157895,,,,,,,,,,,,,,,,,,,,,
,,,,,24,1.654,1,0,23,23,12,1,24,721,2022-01-24_22h10.52,timed_fluency,2021.2.3,MacIntel,52.63157895,,,,,,,,,,,,,,,,,,,,,
,,,,,8,1.686,1,0,24,24,2,1,8,721,2022-01-24_22h10.52,timed_fluency,2021.2.3,MacIntel,52.63157895,,,,,,,,,,,,,,,,,,,,,
,,,,,27,2.017,1,0,25,25,14,1,27,721,2022-01-24_22h10.52,timed_fluency,2021.2.3,MacIntel,52.63157895,,,,,,,,,,,,,,,,,,,,,
,,,,,16,1.997,1,0,26,26,8,1,16,721,2022-01-24_22h10.52,timed_fluency,2021.2.3,MacIntel,52.63157895,,,,,,,,,,,,,,,,,,,,,
,,,,,18,1.782,1,0,27,27,9,1,18,721,2022-01-24_22h10.52,timed_fluency,2021.2.3,MacIntel,52.63157895,,,,,,,,,,,,,,,,,,,,,
,,,,,81,1.618,1,0,28,28,30,1,81,721,2022-01-24_22h10.52,timed_fluency,2021.2.3,MacIntel,52.63157895,,,,,,,,,,,,,,,,,,,,,
,,,,,14,1.683,1,0,29,29,6,1,14,721,2022-01-24_22h10.52,timed_fluency,2021.2.3,MacIntel,52.63157895,,,,,,,,,,,,,,,,,,,,,
,,,,,9,1.418,1,0,30,30,3,1,9,721,2022-01-24_22h10.52,timed_fluency,2021.2.3,MacIntel,52.63157895,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,721,2022-01-24_22h10.52,timed_fluency,2021.2.3,MacIntel,52.63157895,0,0,0,0,1,typing.xlsx,1,,,,,,,,,,,,,,
,,,,,24,2.951,1,0,0,0,12,1,24,721,2022-01-24_22h10.52,timed_fluency,2021.2.3,MacIntel,52.63157895,,,,,,,,,,,,,,,,,,,,,
,,,,,63,2.678,1,0,1,1,27,1,63,721,2022-01-24_22h10.52,timed_fluency,2021.2.3,MacIntel,52.63157895,,,,,,,,,,,,,,,,,,,,,
,,,,,18,1.729,1,0,2,2,9,1,18,721,2022-01-24_22h10.52,timed_fluency,2021.2.3,MacIntel,52.63157895,,,,,,,,,,,,,,,,,,,,,
,,,,,6,1.827,1,0,3,3,1,1,6,721,2022-01-24_22h10.52,timed_fluency,2021.2.3,MacIntel,52.63157895,,,,,,,,,,,,,,,,,,,,,
,,,,,45,1.659,1,0,4,4,22,1,45,721,2022-01-24_22h10.52,timed_fluency,2021.2.3,MacIntel,52.63157895,,,,,,,,,,,,,,,,,,,,,
,,,,,35,2.038,1,0,5,5,18,1,35,721,2022-01-24_22h10.52,timed_fluency,2021.2.3,MacIntel,52.63157895,,,,,,,,,,,,,,,,,,,,,
,,,,,9,1.526,1,0,6,6,3,1,9,721,2022-01-24_22h10.52,timed_fluency,2021.2.3,MacIntel,52.63157895,,,,,,,,,,,,,,,,,,,,,
,,,,,25,2.341,1,0,7,7,13,1,25,721,2022-01-24_22h10.52,timed_fluency,2021.2.3,MacIntel,52.63157895,,,,,,,,,,,,,,,,,,,,,
,,,,,54,1.909,1,0,8,8,25,1,54,721,2022-01-24_22h10.52,timed_fluency,2021.2.3,MacIntel,52.63157895,,,,,,,,,,,,,,,,,,,,,
,,,,,16,2.085,1,0,9,9,8,1,16,721,2022-01-24_22h10.52,timed_fluency,2021.2.3,MacIntel,52.63157895,,,,,,,,,,,,,,,,,,,,,
,,,,,20,1.614,1,0,10,10,10,1,20,721,2022-01-24_22h10.52,timed_fluency,2021.2.3,MacIntel,52.63157895,,,,,,,,,,,,,,,,,,,,,
,,,,,8,1.35,1,0,11,11,2,1,8,721,2022-01-24_22h10.52,timed_fluency,2021.2.3,MacIntel,52.63157895,,,,,,,,,,,,,,,,,,,,,
,,,,,10,1.369,1,0,12,12,4,1,10,721,2022-01-24_22h10.52,timed_fluency,2021.2.3,MacIntel,52.63157895,,,,,,,,,,,,,,,,,,,,,
,,,,,72,1.598,1,0,13,13,29,1,72,721,2022-01-24_22h10.52,timed_fluency,2021.2.3,MacIntel,52.63157895,,,,,,,,,,,,,,,,,,,,,
,,,,,49,2.131,1,0,14,14,24,1,49,721,2022-01-24_22h10.52,timed_fluency,2021.2.3,MacIntel,52.63157895,,,,,,,,,,,,,,,,,,,,,
,,,,,81,1.501,1,0,15,15,30,1,81,721,2022-01-24_22h10.52,timed_fluency,2021.2.3,MacIntel,52.63157895,,,,,,,,,,,,,,,,,,,,,
,,,,,40,1.465,1,0,16,16,20,1,40,721,2022-01-24_22h10.52,timed_fluency,2021.2.3,MacIntel,52.63157895,,,,,,,,,,,,,,,,,,,,,
,,,,,4,1.221,1,0,17,17,0,1,4,721,2022-01-24_22h10.52,timed_fluency,2021.2.3,MacIntel,52.63157895,,,,,,,,,,,,,,,,,,,,,
,,,,,64,1.538,1,0,18,18,28,1,64,721,2022-01-24_22h10.52,timed_fluency,2021.2.3,MacIntel,52.63157895,,,,,,,,,,,,,,,,,,,,,
,,,,,42,1.716,1,0,19,19,21,1,42,721,2022-01-24_22h10.52,timed_fluency,2021.2.3,MacIntel,52.63157895,,,,,,,,,,,,,,,,,,,,,
,,,,,28,1.413,1,0,20,20,15,1,28,721,2022-01-24_22h10.52,timed_fluency,2021.2.3,MacIntel,52.63157895,,,,,,,,,,,,,,,,,,,,,
,,,,,21,1.577,1,0,21,21,11,1,21,721,2022-01-24_22h10.52,timed_fluency,2021.2.3,MacIntel,52.63157895,,,,,,,,,,,,,,,,,,,,,
,,,,,32,1.621,1,0,22,22,17,1,32,721,2022-01-24_22h10.52,timed_fluency,2021.2.3,MacIntel,52.63157895,,,,,,,,,,,,,,,,,,,,,
,,,,,15,1.617,1,0,23,23,7,1,15,721,2022-01-24_22h10.52,timed_fluency,2021.2.3,MacIntel,52.63157895,,,,,,,,,,,,,,,,,,,,,
,,,,,36,2.276,1,0,24,24,19,1,36,721,2022-01-24_22h10.52,timed_fluency,2021.2.3,MacIntel,52.63157895,,,,,,,,,,,,,,,,,,,,,
,,,,,12,1.287,1,0,25,25,5,1,12,721,2022-01-24_22h10.52,timed_fluency,2021.2.3,MacIntel,52.63157895,,,,,,,,,,,,,,,,,,,,,
,,,,,30,1.679,1,0,26,26,16,1,30,721,2022-01-24_22h10.52,timed_fluency,2021.2.3,MacIntel,52.63157895,,,,,,,,,,,,,,,,,,,,,
,,,,,27,1.619,1,0,27,27,14,1,27,721,2022-01-24_22h10.52,timed_fluency,2021.2.3,MacIntel,52.63157895,,,,,,,,,,,,,,,,,,,,,
,,,,,56,1.973,1,0,28,28,26,1,56,721,2022-01-24_22h10.52,timed_fluency,2021.2.3,MacIntel,52.63157895,,,,,,,,,,,,,,,,,,,,,
,,,,,48,1.83,1,0,29,29,23,1,48,721,2022-01-24_22h10.52,timed_fluency,2021.2.3,MacIntel,52.63157895,,,,,,,,,,,,,,,,,,,,,
,,,,,14,1.576,1,0,30,30,6,1,14,721,2022-01-24_22h10.52,timed_fluency,2021.2.3,MacIntel,52.63157895,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,721,2022-01-24_22h10.52,timed_fluency,2021.2.3,MacIntel,52.63157895,0,1,1,1,1,typing.xlsx,2,,,,,,,,,,,,,,
,,,,,,,,,,,,,,721,2022-01-24_22h10.52,timed_fluency,2021.2.3,MacIntel,52.63157895,,,,,,,,space,12.076,6,2.858,1,0,0,0,0,1,2 × 3 =,6,,
,,,,,,,,,,,,,,721,2022-01-24_22h10.52,timed_fluency,2021.2.3,MacIntel,52.63157895,,,,,,,,,,40,3.482,1,0,1,1,1,1,5 × 8 =,40,,
,,,,,,,,,,,,,,721,2022-01-24_22h10.52,timed_fluency,2021.2.3,MacIntel,52.63157895,,,,,,,,,,12,1.838,1,0,2,2,2,1,3 × 4 =,12,,
,,,,,,,,,,,,,,721,2022-01-24_22h10.52,timed_fluency,2021.2.3,MacIntel,52.63157895,,,,,,,,,,15,2.908,1,0,3,3,3,1,5 × 3 =,15,,
,,,,,,,,,,,,,,721,2022-01-24_22h10.52,timed_fluency,2021.2.3,MacIntel,52.63157895,,,,,,,,,,8,1.783,1,0,4,4,4,1,2 × 4 =,8,,
,,,,,,,,,,,,,,721,2022-01-24_22h10.52,timed_fluency,2021.2.3,MacIntel,52.63157895,,,,,,,,,,4,1.47,1,0,5,5,5,1,2 × 2 =,4,,
,,,,,,,,,,,,,,721,2022-01-24_22h10.52,timed_fluency,2021.2.3,MacIntel,52.63157895,,,,,,,,,,20,1.896,1,0,6,6,6,1,4 × 5 =,20,,
,,,,,,,,,,,,,,721,2022-01-24_22h10.52,timed_fluency,2021.2.3,MacIntel,52.63157895,,,,,,,,,,9,1.403,1,0,7,7,7,1,3 × 3 =,9,,
,,,,,,,,,,,,,,721,2022-01-24_22h10.52,timed_fluency,2021.2.3,MacIntel,52.63157895,,,,,,,,,,10,1.565,1,0,8,8,8,1,5 × 2 =,10,,
,,,,,,,,,,,,,,721,2022-01-24_22h10.52,timed_fluency,2021.2.3,MacIntel,52.63157895,,,,,,,,,,16,1.998,1,0,9,9,9,1,4 × 4 =,16,,
,,,,,,,,,,,,,,721,2022-01-24_22h10.52,timed_fluency,2021.2.3,MacIntel,52.63157895,,,,,,,,,,24,1.974,1,0,10,10,10,1,8 × 3 =,24,,
,,,,,,,,,,,,,,721,2022-01-24_22h10.52,timed_fluency,2021.2.3,MacIntel,52.63157895,,,,,,,,,,30,2.101,1,0,11,11,11,1,6 × 5 =,30,,
,,,,,,,,,,,,,,721,2022-01-24_22h10.52,timed_fluency,2021.2.3,MacIntel,52.63157895,,,,,,,,,,14,2.468,1,0,12,12,12,1,7 × 2 =,14,,
,,,,,,,,,,,,,,721,2022-01-24_22h10.52,timed_fluency,2021.2.3,MacIntel,52.63157895,,,,,,,,,,27,3.807,1,0,13,13,13,1,3 × 9 =,27,,
,,,,,,,,,,,,,,721,2022-01-24_22h10.52,timed_fluency,2021.2.3,MacIntel,52.63157895,,,,,,,,,,16,1.936,1,0,14,14,14,1,2 × 8 =,16,,
,,,,,,,,,,,,,,721,2022-01-24_22h10.52,timed_fluency,2021.2.3,MacIntel,52.63157895,,,,,,,,,,24,2.376,1,0,15,15,15,1,4 × 6 =,24,,
,,,,,,,,,,,,,,721,2022-01-24_22h10.52,timed_fluency,2021.2.3,MacIntel,52.63157895,,,,,,,,,,21,1.588,1,0,16,16,16,1,7 × 3 =,21,,
,,,,,,,,,,,,,,721,2022-01-24_22h10.52,timed_fluency,2021.2.3,MacIntel,52.63157895,,,,,,,,,,27,2.312,1,0,17,17,17,1,9 × 3 =,27,,
,,,,,,,,,,,,,,721,2022-01-24_22h10.52,timed_fluency,2021.2.3,MacIntel,52.63157895,,,,,,,,,,28,1.906,1,0,18,18,18,1,4 × 7 =,28,,
,,,,,,,,,,,,,,721,2022-01-24_22h10.52,timed_fluency,2021.2.3,MacIntel,52.63157895,,,,,,,,,,18,2.029,1,0,19,19,19,1,2 × 9 =,18,,
,,,,,,,,,,,,,,721,2022-01-24_22h10.52,timed_fluency,2021.2.3,MacIntel,52.63157895,,,,,,,,,,72,18.852,1,0,20,20,20,1,9 × 8 =,72,,
,,,,,,,,,,,,,,721,2022-01-24_22h10.52,timed_fluency,2021.2.3,MacIntel,52.63157895,,,,,,,,,,42,3.455,1,0,21,21,21,1,7 × 6 =,42,,
,,,,,,,,,,,,,,721,2022-01-24_22h10.52,timed_fluency,2021.2.3,MacIntel,52.63157895,,,,,,,,,,56,5.292,0,0,22,22,22,1,6 × 9 =,54,,
,,,,,,,,,,,,,,721,2022-01-24_22h10.52,timed_fluency,2021.2.3,MacIntel,52.63157895,,,,,,,,,,45,2.513,1,0,23,23,23,1,9 × 5 =,45,,
,,,,,,,,,,,,,,721,2022-01-24_22h10.52,timed_fluency,2021.2.3,MacIntel,52.63157895,,,,,,,,,,56,3.309,1,0,24,24,24,1,8 × 7 =,56,,
,,,,,,,,,,,,,,721,2022-01-24_22h10.52,timed_fluency,2021.2.3,MacIntel,52.63157895,,,,,,,,,,36,2.766,1,0,25,25,25,1,6 × 6 =,36,,
,,,,,,,,,,,,,,721,2022-01-24_22h10.52,timed_fluency,2021.2.3,MacIntel,52.63157895,,,,,,,,,,35,2.334,1,0,26,26,26,1,5 × 7 =,35,,
,,,,,,,,,,,,,,721,2022-01-24_22h10.52,timed_fluency,2021.2.3,MacIntel,52.63157895,,,,,,,,,,36,2.852,1,0,27,27,27,1,4 × 9 =,36,,
,,,,,,,,,,,,,,721,2022-01-24_22h10.52,timed_fluency,2021.2.3,MacIntel,52.63157895,,,,,,,,,,48,3.47,1,0,28,28,28,1,8 × 6 =,48,,
,,,,,,,,,,,,,,721,2022-01-24_22h10.52,timed_fluency,2021.2.3,MacIntel,52.63157895,,,,,,,,,,,,0,0,29,29,29,1,9 × 7 =,63,,
,,,,,,,,,,,,,,721,2022-01-24_22h10.52,timed_fluency,2021.2.3,MacIntel,52.63157895,,,,,,,,,,,,,,,,,,,,space,63.197
