windowSize,welcomeResp.keys,welcomeResp.rt,typingInstr_resp.keys,typingInstr_resp.rt,TypedAnswer1,typingRT1,typingCorr,roundNo.thisRepN,roundNo.thisTrialN,roundNo.thisN,roundNo.thisIndex,roundNo.ran,typedStimulus,participant,date,expName,psychopyVersion,OS,frameRate,typingTrials.thisRepN,typingTrials.thisTrialN,typingTrials.thisN,typingTrials.thisIndex,typingTrials.ran,typingStimulusFile,roundNo,trialIstr_resp.keys,trialIstr_resp.rt,TypT_answer,typingRT,multiplyCorr,trials_presentation.thisRepN,trials_presentation.thisTrialN,trials_presentation.thisN,trials_presentation.thisIndex,trials_presentation.ran,problem,answers,exitkey_resp.keys,exitkey_resp.rt
"[1280,577]",space,5.0646,space,9.6822,49,2.9248,1,0,0,0,24,1,49,804,2022-01-16_17h57.39.267,timed_fluency,2021.2.3,Win32,60.52902367,,,,,,,,,,,,,,,,,,,,,
,,,,,40,1.8648,1,0,1,1,20,1,40,804,2022-01-16_17h57.39.267,timed_fluency,2021.2.3,Win32,60.52902367,,,,,,,,,,,,,,,,,,,,,
,,,,,20,1.4652,1,0,2,2,10,1,20,804,2022-01-16_17h57.39.267,timed_fluency,2021.2.3,Win32,60.52902367,,,,,,,,,,,,,,,,,,,,,
,,,,,21,1.1651,1,0,3,3,11,1,21,804,2022-01-16_17h57.39.267,timed_fluency,2021.2.3,Win32,60.52902367,,,,,,,,,,,,,,,,,,,,,
,,,,,24,1.5319,1,0,4,4,12,1,24,804,2022-01-16_17h57.39.267,timed_fluency,2021.2.3,Win32,60.52902367,,,,,,,,,,,,,,,,,,,,,
,,,,,36,1.682,1,0,5,5,19,1,36,804,2022-01-16_17h57.39.267,timed_fluency,2021.2.3,Win32,60.52902367,,,,,,,,,,,,,,,,,,,,,
,,,,,64,1.515,1,0,6,6,28,1,64,804,2022-01-16_17h57.39.267,timed_fluency,2021.2.3,Win32,60.52902367,,,,,,,,,,,,,,,,,,,,,
,,,,,48,1.4816,1,0,7,7,23,1,48,804,2022-01-16_17h57.39.267,timed_fluency,2021.2.3,Win32,60.52902367,,,,,,,,,,,,,,,,,,,,,
,,,,,8,1.4987,1,0,8,8,2,1,8,804,2022-01-16_17h57.39.267,timed_fluency,2021.2.3,Win32,60.52902367,,,,,,,,,,,,,,,,,,,,,
,,,,,6,1.249,1,0,9,9,1,1,6,804,2022-01-16_17h57.39.267,timed_fluency,2021.2.3,Win32,60.52902367,,,,,,,,,,,,,,,,,,,,,
,,,,,4,0.9655,1,0,10,10,0,1,4,804,2022-01-16_17h57.39.267,timed_fluency,2021.2.3,Win32,60.52902367,,,,,,,,,,,,,,,,,,,,,
,,,,,25,1.5651,1,0,11,11,13,1,25,804,2022-01-16_17h57.39.267,timed_fluency,2021.2.3,Win32,60.52902367,,,,,,,,,,,,,,,,,,,,,
,,,,,12,1.0991,1,0,12,12,5,1,12,804,2022-01-16_17h57.39.267,timed_fluency,2021.2.3,Win32,60.52902367,,,,,,,,,,,,,,,,,,,,,
,,,,,15,1.1322,1,0,13,13,7,1,15,804,2022-01-16_17h57.39.267,timed_fluency,2021.2.3,Win32,60.52902367,,,,,,,,,,,,,,,,,,,,,
,,,,,63,1.7153,1,0,14,14,27,1,63,804,2022-01-16_17h57.39.267,timed_fluency,2021.2.3,Win32,60.52902367,,,,,,,,,,,,,,,,,,,,,
,,,,,54,1.2319,1,0,15,15,25,1,54,804,2022-01-16_17h57.39.267,timed_fluency,2021.2.3,Win32,60.52902367,,,,,,,,,,,,,,,,,,,,,
,,,,,35,1.216,1,0,16,16,18,1,35,804,2022-01-16_17h57.39.267,timed_fluency,2021.2.3,Win32,60.52902367,,,,,,,,,,,,,,,,,,,,,
,,,,,56,1.3985,1,0,17,17,26,1,56,804,2022-01-16_17h57.39.267,timed_fluency,2021.2.3,Win32,60.52902367,,,,,,,,,,,,,,,,,,,,,
,,,,,27,1.4152,1,0,18,18,14,1,27,804,2022-01-16_17h57.39.267,timed_fluency,2021.2.3,Win32,60.52902367,,,,,,,,,,,,,,,,,,,,,
,,,,,42,1.2492,1,0,19,19,21,1,42,804,2022-01-16_17h57.39.267,timed_fluency,2021.2.3,Win32,60.52902367,,,,,,,,,,,,,,,,,,,,,
,,,,,9,1.4318,1,0,20,20,3,1,9,804,2022-01-16_17h57.39.267,timed_fluency,2021.2.3,Win32,60.52902367,,,,,,,,,,,,,,,,,,,,,
,,,,,28,1.4155,1,0,21,21,15,1,28,804,2022-01-16_17h57.39.267,timed_fluency,2021.2.3,Win32,60.52902367,,,,,,,,,,,,,,,,,,,,,
,,,,,32,1.2319,1,0,22,22,17,1,32,804,2022-01-16_17h57.39.267,timed_fluency,2021.2.3,Win32,60.52902367,,,,,,,,,,,,,,,,,,,,,
,,,,,10,1.2323,1,0,23,23,4,1,10,804,2022-01-16_17h57.39.267,timed_fluency,2021.2.3,Win32,60.52902367,,,,,,,,,,,,,,,,,,,,,
,,,,,81,1.7987,1,0,24,24,30,1,81,804,2022-01-16_17h57.39.267,timed_fluency,2021.2.3,Win32,60.52902367,,,,,,,,,,,,,,,,,,,,,
,,,,,18,1.3152,1,0,25,25,9,1,18,804,2022-01-16_17h57.39.267,timed_fluency,2021.2.3,Win32,60.52902367,,,,,,,,,,,,,,,,,,,,,
,,,,,14,1.1489,1,0,26,26,6,1,14,804,2022-01-16_17h57.39.267,timed_fluency,2021.2.3,Win32,60.52902367,,,,,,,,,,,,,,,,,,,,,
,,,,,45,1.3318,1,0,27,27,22,1,45,804,2022-01-16_17h57.39.267,timed_fluency,2021.2.3,Win32,60.52902367,,,,,,,,,,,,,,,,,,,,,
,,,,,72,1.6157,1,0,28,28,29,1,72,804,2022-01-16_17h57.39.267,timed_fluency,2021.2.3,Win32,60.52902367,,,,,,,,,,,,,,,,,,,,,
,,,,,30,2.5647,1,0,29,29,16,1,30,804,2022-01-16_17h57.39.267,timed_fluency,2021.2.3,Win32,60.52902367,,,,,,,,,,,,,,,,,,,,,
,,,,,16,1.2486,1,0,30,30,8,1,16,804,2022-01-16_17h57.39.267,timed_fluency,2021.2.3,Win32,60.52902367,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,804,2022-01-16_17h57.39.267,timed_fluency,2021.2.3,Win32,60.52902367,0,0,0,0,1,typing.xlsx,1,,,,,,,,,,,,,,
,,,,,54,1.5766,1,0,0,0,25,1,54,804,2022-01-16_17h57.39.267,timed_fluency,2021.2.3,Win32,60.52902367,,,,,,,,,,,,,,,,,,,,,
,,,,,14,1.1321,1,0,1,1,6,1,14,804,2022-01-16_17h57.39.267,timed_fluency,2021.2.3,Win32,60.52902367,,,,,,,,,,,,,,,,,,,,,
,,,,,4,1.0158,1,0,2,2,0,1,4,804,2022-01-16_17h57.39.267,timed_fluency,2021.2.3,Win32,60.52902367,,,,,,,,,,,,,,,,,,,,,
,,,,,35,1.6815,1,0,3,3,18,1,35,804,2022-01-16_17h57.39.267,timed_fluency,2021.2.3,Win32,60.52902367,,,,,,,,,,,,,,,,,,,,,
,,,,,63,3.4642,1,0,4,4,27,1,63,804,2022-01-16_17h57.39.267,timed_fluency,2021.2.3,Win32,60.52902367,,,,,,,,,,,,,,,,,,,,,
,,,,,40,1.334,1,0,5,5,20,1,40,804,2022-01-16_17h57.39.267,timed_fluency,2021.2.3,Win32,60.52902367,,,,,,,,,,,,,,,,,,,,,
,,,,,72,1.349,1,0,6,6,29,1,72,804,2022-01-16_17h57.39.267,timed_fluency,2021.2.3,Win32,60.52902367,,,,,,,,,,,,,,,,,,,,,
,,,,,24,1.1655,1,0,7,7,12,1,24,804,2022-01-16_17h57.39.267,timed_fluency,2021.2.3,Win32,60.52902367,,,,,,,,,,,,,,,,,,,,,
,,,,,6,1.165,1,0,8,8,1,1,6,804,2022-01-16_17h57.39.267,timed_fluency,2021.2.3,Win32,60.52902367,,,,,,,,,,,,,,,,,,,,,
,,,,,49,1.4658,1,0,9,9,24,1,49,804,2022-01-16_17h57.39.267,timed_fluency,2021.2.3,Win32,60.52902367,,,,,,,,,,,,,,,,,,,,,
,,,,,27,1.4985,1,0,10,10,14,1,27,804,2022-01-16_17h57.39.267,timed_fluency,2021.2.3,Win32,60.52902367,,,,,,,,,,,,,,,,,,,,,
,,,,,56,1.4991,1,0,11,11,26,1,56,804,2022-01-16_17h57.39.267,timed_fluency,2021.2.3,Win32,60.52902367,,,,,,,,,,,,,,,,,,,,,
,,,,,21,1.1153,1,0,12,12,11,1,21,804,2022-01-16_17h57.39.267,timed_fluency,2021.2.3,Win32,60.52902367,,,,,,,,,,,,,,,,,,,,,
,,,,,12,0.9658,1,0,13,13,5,1,12,804,2022-01-16_17h57.39.267,timed_fluency,2021.2.3,Win32,60.52902367,,,,,,,,,,,,,,,,,,,,,
,,,,,8,1.3155,1,0,14,14,2,1,8,804,2022-01-16_17h57.39.267,timed_fluency,2021.2.3,Win32,60.52902367,,,,,,,,,,,,,,,,,,,,,
,,,,,32,1.1988,1,0,15,15,17,1,32,804,2022-01-16_17h57.39.267,timed_fluency,2021.2.3,Win32,60.52902367,,,,,,,,,,,,,,,,,,,,,
,,,,,64,1.9151,1,0,16,16,28,1,64,804,2022-01-16_17h57.39.267,timed_fluency,2021.2.3,Win32,60.52902367,,,,,,,,,,,,,,,,,,,,,
,,,,,16,1.4321,1,0,17,17,8,1,16,804,2022-01-16_17h57.39.267,timed_fluency,2021.2.3,Win32,60.52902367,,,,,,,,,,,,,,,,,,,,,
