windowSize,welcomeResp.keys,welcomeResp.rt,typingInstr_resp.keys,typingInstr_resp.rt,TypedAnswer1,typingRT1,typingCorr,roundNo.thisRepN,roundNo.thisTrialN,roundNo.thisN,roundNo.thisIndex,roundNo.ran,typedStimulus,participant,date,expName,psychopyVersion,OS,frameRate,typingTrials.thisRepN,typingTrials.thisTrialN,typingTrials.thisN,typingTrials.thisIndex,typingTrials.ran,typingStimulusFile,roundNo,trialIstr_resp.keys,trialIstr_resp.rt,TypT_answer,typingRT,multiplyCorr,trials_presentation.thisRepN,trials_presentation.thisTrialN,trials_presentation.thisN,trials_presentation.thisIndex,trials_presentation.ran,problem,answers
"[1280,577]",space,13.9529,space,9.224,27,3.2782,1,0,0,0,14,1,27,8152,2022-02-17_16h01.46.504,timed_fluency,2021.2.3,Win32,60.0132029,,,,,,,,,,,,,,,,,,,
,,,,,9,1.4995,1,0,1,1,3,1,9,8152,2022-02-17_16h01.46.504,timed_fluency,2021.2.3,Win32,60.0132029,,,,,,,,,,,,,,,,,,,
,,,,,20,1.4699,1,0,2,2,10,1,20,8152,2022-02-17_16h01.46.504,timed_fluency,2021.2.3,Win32,60.0132029,,,,,,,,,,,,,,,,,,,
,,,,,45,1.7084,1,0,3,3,22,1,45,8152,2022-02-17_16h01.46.504,timed_fluency,2021.2.3,Win32,60.0132029,,,,,,,,,,,,,,,,,,,
,,,,,36,2.4804,1,0,4,4,19,1,36,8152,2022-02-17_16h01.46.504,timed_fluency,2021.2.3,Win32,60.0132029,,,,,,,,,,,,,,,,,,,
,,,,,25,1.4984,1,0,5,5,13,1,25,8152,2022-02-17_16h01.46.504,timed_fluency,2021.2.3,Win32,60.0132029,,,,,,,,,,,,,,,,,,,
,,,,,49,2.5467,1,0,6,6,24,1,49,8152,2022-02-17_16h01.46.504,timed_fluency,2021.2.3,Win32,60.0132029,,,,,,,,,,,,,,,,,,,
,,,,,54,1.8312,1,0,7,7,25,1,54,8152,2022-02-17_16h01.46.504,timed_fluency,2021.2.3,Win32,60.0132029,,,,,,,,,,,,,,,,,,,
,,,,,42,1.5821,1,0,8,8,21,1,42,8152,2022-02-17_16h01.46.504,timed_fluency,2021.2.3,Win32,60.0132029,,,,,,,,,,,,,,,,,,,
,,,,,63,1.8821,1,0,9,9,27,1,63,8152,2022-02-17_16h01.46.504,timed_fluency,2021.2.3,Win32,60.0132029,,,,,,,,,,,,,,,,,,,
,,,,,64,1.6319,1,0,10,10,28,1,64,8152,2022-02-17_16h01.46.504,timed_fluency,2021.2.3,Win32,60.0132029,,,,,,,,,,,,,,,,,,,
,,,,,32,1.3503,1,0,11,11,17,1,32,8152,2022-02-17_16h01.46.504,timed_fluency,2021.2.3,Win32,60.0132029,,,,,,,,,,,,,,,,,,,
,,,,,35,2.3125,1,0,12,12,18,1,35,8152,2022-02-17_16h01.46.504,timed_fluency,2021.2.3,Win32,60.0132029,,,,,,,,,,,,,,,,,,,
,,,,,28,1.4605,1,0,13,13,15,1,28,8152,2022-02-17_16h01.46.504,timed_fluency,2021.2.3,Win32,60.0132029,,,,,,,,,,,,,,,,,,,
,,,,,56,1.6825,1,0,14,14,26,1,56,8152,2022-02-17_16h01.46.504,timed_fluency,2021.2.3,Win32,60.0132029,,,,,,,,,,,,,,,,,,,
,,,,,48,1.6489,1,0,15,15,23,1,48,8152,2022-02-17_16h01.46.504,timed_fluency,2021.2.3,Win32,60.0132029,,,,,,,,,,,,,,,,,,,
,,,,,72,2.0997,1,0,16,16,29,1,72,8152,2022-02-17_16h01.46.504,timed_fluency,2021.2.3,Win32,60.0132029,,,,,,,,,,,,,,,,,,,
,,,,,4,1.6982,0,0,17,17,20,1,40,8152,2022-02-17_16h01.46.504,timed_fluency,2021.2.3,Win32,60.0132029,,,,,,,,,,,,,,,,,,,
,,,,,21,1.4993,1,0,18,18,11,1,21,8152,2022-02-17_16h01.46.504,timed_fluency,2021.2.3,Win32,60.0132029,,,,,,,,,,,,,,,,,,,
,,,,,10,1.5159,1,0,19,19,4,1,10,8152,2022-02-17_16h01.46.504,timed_fluency,2021.2.3,Win32,60.0132029,,,,,,,,,,,,,,,,,,,
,,,,,4,1.4488,1,0,20,20,0,1,4,8152,2022-02-17_16h01.46.504,timed_fluency,2021.2.3,Win32,60.0132029,,,,,,,,,,,,,,,,,,,
,,,,,24,1.311,1,0,21,21,12,1,24,8152,2022-02-17_16h01.46.504,timed_fluency,2021.2.3,Win32,60.0132029,,,,,,,,,,,,,,,,,,,
,,,,,18,1.535,1,0,22,22,9,1,18,8152,2022-02-17_16h01.46.504,timed_fluency,2021.2.3,Win32,60.0132029,,,,,,,,,,,,,,,,,,,
,,,,,8,1.283,1,0,23,23,2,1,8,8152,2022-02-17_16h01.46.504,timed_fluency,2021.2.3,Win32,60.0132029,,,,,,,,,,,,,,,,,,,
,,,,,15,1.2994,1,0,24,24,7,1,15,8152,2022-02-17_16h01.46.504,timed_fluency,2021.2.3,Win32,60.0132029,,,,,,,,,,,,,,,,,,,
,,,,,16,1.3103,1,0,25,25,8,1,16,8152,2022-02-17_16h01.46.504,timed_fluency,2021.2.3,Win32,60.0132029,,,,,,,,,,,,,,,,,,,
,,,,,81,1.6517,1,0,26,26,30,1,81,8152,2022-02-17_16h01.46.504,timed_fluency,2021.2.3,Win32,60.0132029,,,,,,,,,,,,,,,,,,,
,,,,,14,1.3102,1,0,27,27,6,1,14,8152,2022-02-17_16h01.46.504,timed_fluency,2021.2.3,Win32,60.0132029,,,,,,,,,,,,,,,,,,,
,,,,,6,1.3025,1,0,28,28,1,1,6,8152,2022-02-17_16h01.46.504,timed_fluency,2021.2.3,Win32,60.0132029,,,,,,,,,,,,,,,,,,,
,,,,,39,1.6316,0,0,29,29,16,1,30,8152,2022-02-17_16h01.46.504,timed_fluency,2021.2.3,Win32,60.0132029,,,,,,,,,,,,,,,,,,,
,,,,,12,1.2834,1,0,30,30,5,1,12,8152,2022-02-17_16h01.46.504,timed_fluency,2021.2.3,Win32,60.0132029,,,,,,,,,,,,,,,,,,,
