windowSize,welcomeResp.keys,welcomeResp.rt,typingInstr_resp.keys,typingInstr_resp.rt,TypedAnswer1,typingRT1,typingCorr,roundNo.thisRepN,roundNo.thisTrialN,roundNo.thisN,roundNo.thisIndex,roundNo.ran,typedStimulus,participant,date,expName,psychopyVersion,OS,frameRate,typingTrials.thisRepN,typingTrials.thisTrialN,typingTrials.thisN,typingTrials.thisIndex,typingTrials.ran,typingStimulusFile,roundNo,trialIstr_resp.keys,trialIstr_resp.rt,TypT_answer,typingRT,multiplyCorr,trials_presentation.thisRepN,trials_presentation.thisTrialN,trials_presentation.thisN,trials_presentation.thisIndex,trials_presentation.ran,problem,answers,exitkey_resp.keys,exitkey_resp.rt
"[1920,969]",space,0.8255,space,0.3136,10,1.5617,1,0,0,0,4,1,10,748,2022-01-20_23h45.52.739,timed_fluency,2021.2.3,Win32,146.713615,,,,,,,,,,,,,,,,,,,,,
,,,,,18,2.1242,1,0,1,1,9,1,18,748,2022-01-20_23h45.52.739,timed_fluency,2021.2.3,Win32,146.713615,,,,,,,,,,,,,,,,,,,,,
,,,,,72,2.2908,1,0,2,2,29,1,72,748,2022-01-20_23h45.52.739,timed_fluency,2021.2.3,Win32,146.713615,,,,,,,,,,,,,,,,,,,,,
,,,,,12,1.1561,1,0,3,3,5,1,12,748,2022-01-20_23h45.52.739,timed_fluency,2021.2.3,Win32,146.713615,,,,,,,,,,,,,,,,,,,,,
,,,,,16,2.0373,1,0,4,4,8,1,16,748,2022-01-20_23h45.52.739,timed_fluency,2021.2.3,Win32,146.713615,,,,,,,,,,,,,,,,,,,,,
,,,,,6,1.2285,1,0,5,5,1,1,6,748,2022-01-20_23h45.52.739,timed_fluency,2021.2.3,Win32,146.713615,,,,,,,,,,,,,,,,,,,,,
,,,,,56,1.7841,1,0,6,6,26,1,56,748,2022-01-20_23h45.52.739,timed_fluency,2021.2.3,Win32,146.713615,,,,,,,,,,,,,,,,,,,,,
,,,,,30,1.6801,1,0,7,7,16,1,30,748,2022-01-20_23h45.52.739,timed_fluency,2021.2.3,Win32,146.713615,,,,,,,,,,,,,,,,,,,,,
,,,,,15,1.5479,1,0,8,8,7,1,15,748,2022-01-20_23h45.52.739,timed_fluency,2021.2.3,Win32,146.713615,,,,,,,,,,,,,,,,,,,,,
,,,,,32,1.3051,1,0,9,9,17,1,32,748,2022-01-20_23h45.52.739,timed_fluency,2021.2.3,Win32,146.713615,,,,,,,,,,,,,,,,,,,,,
,,,,,63,2.0964,1,0,10,10,27,1,63,748,2022-01-20_23h45.52.739,timed_fluency,2021.2.3,Win32,146.713615,,,,,,,,,,,,,,,,,,,,,
,,,,,8,1.451,1,0,11,11,2,1,8,748,2022-01-20_23h45.52.739,timed_fluency,2021.2.3,Win32,146.713615,,,,,,,,,,,,,,,,,,,,,
,,,,,21,1.2981,1,0,12,12,11,1,21,748,2022-01-20_23h45.52.739,timed_fluency,2021.2.3,Win32,146.713615,,,,,,,,,,,,,,,,,,,,,
,,,,,81,2.43,1,0,13,13,30,1,81,748,2022-01-20_23h45.52.739,timed_fluency,2021.2.3,Win32,146.713615,,,,,,,,,,,,,,,,,,,,,
,,,,,4,1.2218,1,0,14,14,0,1,4,748,2022-01-20_23h45.52.739,timed_fluency,2021.2.3,Win32,146.713615,,,,,,,,,,,,,,,,,,,,,
,,,,,9,1.5896,1,0,15,15,3,1,9,748,2022-01-20_23h45.52.739,timed_fluency,2021.2.3,Win32,146.713615,,,,,,,,,,,,,,,,,,,,,
,,,,,14,1.2842,1,0,16,16,6,1,14,748,2022-01-20_23h45.52.739,timed_fluency,2021.2.3,Win32,146.713615,,,,,,,,,,,,,,,,,,,,,
,,,,,64,1.791,1,0,17,17,28,1,64,748,2022-01-20_23h45.52.739,timed_fluency,2021.2.3,Win32,146.713615,,,,,,,,,,,,,,,,,,,,,
