windowSize,welcomeResp.keys,welcomeResp.rt,typingInstr_resp.keys,typingInstr_resp.rt,TypedAnswer1,typingRT1,typingCorr,roundNo.thisRepN,roundNo.thisTrialN,roundNo.thisN,roundNo.thisIndex,roundNo.ran,typedStimulus,participant,date,expName,psychopyVersion,OS,frameRate,typingTrials.thisRepN,typingTrials.thisTrialN,typingTrials.thisN,typingTrials.thisIndex,typingTrials.ran,typingStimulusFile,roundNo
"[1536,722]",space,10.5673,space,3.0107,,21.6509,0,0,0,0,26,1,56,8158,2022-02-22_20h23.17.359,timed_fluency,2021.2.3,Win32,61.17330397,,,,,,,
,,,,,,77.1126,0,0,1,1,11,1,21,8158,2022-02-22_20h23.17.359,timed_fluency,2021.2.3,Win32,61.17330397,,,,,,,
,,,,,,4.046,0,0,2,2,14,1,27,8158,2022-02-22_20h23.17.359,timed_fluency,2021.2.3,Win32,61.17330397,,,,,,,
,,,,,,3.6826,0,0,3,3,30,1,81,8158,2022-02-22_20h23.17.359,timed_fluency,2021.2.3,Win32,61.17330397,,,,,,,
,,,,,,7.3657,0,0,4,4,22,1,45,8158,2022-02-22_20h23.17.359,timed_fluency,2021.2.3,Win32,61.17330397,,,,,,,
,,,,,,5.3588,0,0,5,5,12,1,24,8158,2022-02-22_20h23.17.359,timed_fluency,2021.2.3,Win32,61.17330397,,,,,,,
,,,,,,1.5316,0,0,6,6,8,1,16,8158,2022-02-22_20h23.17.359,timed_fluency,2021.2.3,Win32,61.17330397,,,,,,,
,,,,,,3.23,0,0,7,7,24,1,49,8158,2022-02-22_20h23.17.359,timed_fluency,2021.2.3,Win32,61.17330397,,,,,,,
,,,,,,5.8986,0,0,8,8,29,1,72,8158,2022-02-22_20h23.17.359,timed_fluency,2021.2.3,Win32,61.17330397,,,,,,,
,,,,,,3.1341,0,0,9,9,19,1,36,8158,2022-02-22_20h23.17.359,timed_fluency,2021.2.3,Win32,61.17330397,,,,,,,
,,,,,,2.6636,0,0,10,10,1,1,6,8158,2022-02-22_20h23.17.359,timed_fluency,2021.2.3,Win32,61.17330397,,,,,,,
,,,,,,3.5801,0,0,11,11,0,1,4,8158,2022-02-22_20h23.17.359,timed_fluency,2021.2.3,Win32,61.17330397,,,,,,,
,,,,,,2.2003,0,0,12,12,6,1,14,8158,2022-02-22_20h23.17.359,timed_fluency,2021.2.3,Win32,61.17330397,,,,,,,
,,,,,,2.7309,0,0,13,13,13,1,25,8158,2022-02-22_20h23.17.359,timed_fluency,2021.2.3,Win32,61.17330397,,,,,,,
,,,,,,3.0003,0,0,14,14,18,1,35,8158,2022-02-22_20h23.17.359,timed_fluency,2021.2.3,Win32,61.17330397,,,,,,,
,,,,,,2.8306,0,0,15,15,20,1,40,8158,2022-02-22_20h23.17.359,timed_fluency,2021.2.3,Win32,61.17330397,,,,,,,
,,,,,,2.1161,0,0,16,16,4,1,10,8158,2022-02-22_20h23.17.359,timed_fluency,2021.2.3,Win32,61.17330397,,,,,,,
,,,,,,30.9504,0,0,17,17,27,1,63,8158,2022-02-22_20h23.17.359,timed_fluency,2021.2.3,Win32,61.17330397,,,,,,,
,,,,,,3.9959,0,0,18,18,16,1,30,8158,2022-02-22_20h23.17.359,timed_fluency,2021.2.3,Win32,61.17330397,,,,,,,
,,,,,,1.8309,0,0,19,19,28,1,64,8158,2022-02-22_20h23.17.359,timed_fluency,2021.2.3,Win32,61.17330397,,,,,,,
,,,,,,1.6976,0,0,20,20,5,1,12,8158,2022-02-22_20h23.17.359,timed_fluency,2021.2.3,Win32,61.17330397,,,,,,,
,,,,,,2.0975,0,0,21,21,23,1,48,8158,2022-02-22_20h23.17.359,timed_fluency,2021.2.3,Win32,61.17330397,,,,,,,
,,,,,,1.7317,0,0,22,22,2,1,8,8158,2022-02-22_20h23.17.359,timed_fluency,2021.2.3,Win32,61.17330397,,,,,,,
,,,,,,1.5303,0,0,23,23,7,1,15,8158,2022-02-22_20h23.17.359,timed_fluency,2021.2.3,Win32,61.17330397,,,,,,,
,,,,,,1.6475,0,0,24,24,3,1,9,8158,2022-02-22_20h23.17.359,timed_fluency,2021.2.3,Win32,61.17330397,,,,,,,
,,,,,,2.2802,0,0,25,25,15,1,28,8158,2022-02-22_20h23.17.359,timed_fluency,2021.2.3,Win32,61.17330397,,,,,,,
,,,,,,2.7989,0,0,26,26,10,1,20,8158,2022-02-22_20h23.17.359,timed_fluency,2021.2.3,Win32,61.17330397,,,,,,,
,,,,,,2.279,0,0,27,27,9,1,18,8158,2022-02-22_20h23.17.359,timed_fluency,2021.2.3,Win32,61.17330397,,,,,,,
,,,,,,1.9049,0,0,28,28,21,1,42,8158,2022-02-22_20h23.17.359,timed_fluency,2021.2.3,Win32,61.17330397,,,,,,,
,,,,,,1.9083,0,0,29,29,17,1,32,8158,2022-02-22_20h23.17.359,timed_fluency,2021.2.3,Win32,61.17330397,,,,,,,
,,,,,,1.9645,0,0,30,30,25,1,54,8158,2022-02-22_20h23.17.359,timed_fluency,2021.2.3,Win32,61.17330397,,,,,,,
,,,,,,,,,,,,,,8158,2022-02-22_20h23.17.359,timed_fluency,2021.2.3,Win32,61.17330397,0,0,0,0,1,typing.xlsx,1
,,,,,,3.1781,0,0,0,0,30,1,81,8158,2022-02-22_20h23.17.359,timed_fluency,2021.2.3,Win32,61.17330397,,,,,,,
,,,,,,1.7859,0,0,1,1,3,1,9,8158,2022-02-22_20h23.17.359,timed_fluency,2021.2.3,Win32,61.17330397,,,,,,,
,,,,,,2.0436,0,0,2,2,21,1,42,8158,2022-02-22_20h23.17.359,timed_fluency,2021.2.3,Win32,61.17330397,,,,,,,
,,,,,,2.0647,0,0,3,3,27,1,63,8158,2022-02-22_20h23.17.359,timed_fluency,2021.2.3,Win32,61.17330397,,,,,,,
,,,,,,1.4816,0,0,4,4,20,1,40,8158,2022-02-22_20h23.17.359,timed_fluency,2021.2.3,Win32,61.17330397,,,,,,,
,,,,,,1.6812,0,0,5,5,22,1,45,8158,2022-02-22_20h23.17.359,timed_fluency,2021.2.3,Win32,61.17330397,,,,,,,
,,,,,,1.1813,0,0,6,6,12,1,24,8158,2022-02-22_20h23.17.359,timed_fluency,2021.2.3,Win32,61.17330397,,,,,,,
,,,,,,1.0813,0,0,7,7,18,1,35,8158,2022-02-22_20h23.17.359,timed_fluency,2021.2.3,Win32,61.17330397,,,,,,,
,,,,,,0.914,0,0,8,8,5,1,12,8158,2022-02-22_20h23.17.359,timed_fluency,2021.2.3,Win32,61.17330397,,,,,,,
,,,,,,1.1658,0,0,9,9,0,1,4,8158,2022-02-22_20h23.17.359,timed_fluency,2021.2.3,Win32,61.17330397,,,,,,,
,,,,,,1.7976,0,0,10,10,6,1,14,8158,2022-02-22_20h23.17.359,timed_fluency,2021.2.3,Win32,61.17330397,,,,,,,
,,,,,,1.6143,0,0,11,11,26,1,56,8158,2022-02-22_20h23.17.359,timed_fluency,2021.2.3,Win32,61.17330397,,,,,,,
,,,,,,0.8326,0,0,12,12,16,1,30,8158,2022-02-22_20h23.17.359,timed_fluency,2021.2.3,Win32,61.17330397,,,,,,,
,,,,,,0.6637,0,0,13,13,13,1,25,8158,2022-02-22_20h23.17.359,timed_fluency,2021.2.3,Win32,61.17330397,,,,,,,
,,,,,,1.9811,0,0,14,14,19,1,36,8158,2022-02-22_20h23.17.359,timed_fluency,2021.2.3,Win32,61.17330397,,,,,,,
,,,,,,1.498,0,0,15,15,10,1,20,8158,2022-02-22_20h23.17.359,timed_fluency,2021.2.3,Win32,61.17330397,,,,,,,
,,,,,,1.9982,0,0,16,16,11,1,21,8158,2022-02-22_20h23.17.359,timed_fluency,2021.2.3,Win32,61.17330397,,,,,,,
,,,,,,1.9809,0,0,17,17,4,1,10,8158,2022-02-22_20h23.17.359,timed_fluency,2021.2.3,Win32,61.17330397,,,,,,,
,,,,,,2.2645,0,0,18,18,9,1,18,8158,2022-02-22_20h23.17.359,timed_fluency,2021.2.3,Win32,61.17330397,,,,,,,
,,,,,,1.7803,0,0,19,19,8,1,16,8158,2022-02-22_20h23.17.359,timed_fluency,2021.2.3,Win32,61.17330397,,,,,,,
,,,,,,2.9804,0,0,20,20,7,1,15,8158,2022-02-22_20h23.17.359,timed_fluency,2021.2.3,Win32,61.17330397,,,,,,,
,,,,,,1.8331,0,0,21,21,17,1,32,8158,2022-02-22_20h23.17.359,timed_fluency,2021.2.3,Win32,61.17330397,,,,,,,
,,,,,,1.3315,0,0,22,22,15,1,28,8158,2022-02-22_20h23.17.359,timed_fluency,2021.2.3,Win32,61.17330397,,,,,,,
,,,,,,1.2485,0,0,23,23,23,1,48,8158,2022-02-22_20h23.17.359,timed_fluency,2021.2.3,Win32,61.17330397,,,,,,,
,,,,,,1.381,0,0,24,24,1,1,6,8158,2022-02-22_20h23.17.359,timed_fluency,2021.2.3,Win32,61.17330397,,,,,,,
,,,,,,0.9481,0,0,25,25,29,1,72,8158,2022-02-22_20h23.17.359,timed_fluency,2021.2.3,Win32,61.17330397,,,,,,,
